variable,label,record_type,group,group_label,url,description,n_countries,n_samples
ABROADCHD,Number of children living abroad,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/ABROADCHD,"ABROADCHD indicates the number of a woman's biological children who are living abroad, regardless of gender.",7,9
ABROADFEM,Number of own female children living abroad,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/ABROADFEM,ABROADFEM indicates the number of a woman's biological female children who are living abroad.,5,6
ABROADMALE,Number of own male children living abroad,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/ABROADMALE,ABROADMALE indicates the number of a woman's biological male children who are living abroad.,5,6
ABSWRK,Reason absent from work,P,work,Work,https://international.ipums.org/international-action/variables/ABSWRK,ABSWRK indicates the reason the respondent cited for having a job but being absent from work.,5,142
AGE,Age,P,core,Demographic,https://international.ipums.org/international-action/variables/AGE,AGE gives age in years as of the person's last birthday prior to or on the day of enumeration.,104,655
AGE2,"Age, grouped into intervals",P,core,Demographic,https://international.ipums.org/international-action/variables/AGE2,AGE2 gives computed years of age grouped into intervals.,99,606
AGE3,"Age, intervalled, United Kingdom",P,core,Demographic,https://international.ipums.org/international-action/variables/AGE3,AGE3 gives years of age grouped into the intervals used in the 2001 United Kingdom sample. The data are coded to the first age value of the interval. Single years of age are given below age 16 and above age 74.,1,2
AGEDEADDAY,"Last child's age at death, days",P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/AGEDEADDAY,"AGEDEADDAY indicates the age at death, in days, of the last child born to a woman. The variable is not applicable if that child was still living.",1,3
AGEDEADMO,"Last child's age at death, months",P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/AGEDEADMO,"AGEDEADMO indicates the age at death, in months, of the last child born to a woman. The variable is not applicable if that child was still living.",2,5
AGEDEADYR,"Last child's age at death, years",P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/AGEDEADYR,"AGEDEADYR indicates the age at death, in years, of the last child born to a woman. The variable is not applicable if that child was still living.",2,4
AGEMARR,Age at first marriage or union,P,core,Demographic,https://international.ipums.org/international-action/variables/AGEMARR,AGEMARR indicates the person's age at first marriage or consensual union.,29,49
AGESTRUCT1,Age of structure,H,h-dwell,Dwelling Characteristics,https://international.ipums.org/international-action/variables/AGESTRUCT1,AGESTRUCT1 reports the estimated age of the structure in which the household resided.,14,23
AGESTRUCT2,"Age of structure, coded from intervals",H,h-dwell,Dwelling Characteristics,https://international.ipums.org/international-action/variables/AGESTRUCT2,AGESTRUCT2 gives the estimated age of the structure.,38,97
AIRCON,Air conditioning,H,h-app,"Appliances, Mechanicals, Other Amenities",https://international.ipums.org/international-action/variables/AIRCON,This variable indicates whether the household had air conditioning.,32,56
ANCEST,"Ancestry, U.S. and Puerto Rico",P,ethnic,Ethnicity and Language,https://international.ipums.org/international-action/variables/ANCEST,ANCEST identifies the person's self-reported ancestry or ethnic origin in the United States and Puerto Rico.,2,12
ANYMORT,Any deaths in household last year,H,h-other,Other Household,https://international.ipums.org/international-action/variables/ANYMORT,ANYMORT indicates whether there were any deaths in the household in the past year.,45,95
AREAMOLLWGEO1,Area of GEOLEV1 unit in square kilometers,H,h-geog,Geography: Global,https://international.ipums.org/international-action/variables/AREAMOLLWGEO1,AREAMOLLWGEO1 indicates the area in square kilometers of the major administrative unit in which the household was enumerated. The major administrative unit of the household is identified by the GEOLEV1 variable. The area of units in GEOLEV1 is calculated using Mollweide's equal area projection. For a full set of geography variables refer to IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 and GEOLEV2 . More information on IPUMS-International geography can be found here .,97,574
AREAMOLLWGEO2,Area of GEOLEV2 unit in square kilometers,H,h-geog,Geography: Global,https://international.ipums.org/international-action/variables/AREAMOLLWGEO2,AREAMOLLWGEO2 indicates the area in square kilometers of the second major administrative unit in which the household was enumerated. The second major administrative unit of the household is identified by the GEOLEV2 variable. The area of units in GEOLEV2 is calculated using Mollweide's equal area projection. For a full set of geography variables refer to IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 and GEOLEV2 . More information on IPUMS-International geography can be found here .,78,378
