iso3,year,value
ABW,1990,33146.6705478771
ABW,1991,34079.2304630075
ABW,1992,34458.142297503
ABW,1993,34627.74347531
ABW,1994,35580.5339781279
ABW,1995,35476.4099870864
ABW,1996,34506.5330803752
ABW,1997,35534.2745034868
ABW,1998,35361.1658888898
ABW,1999,35316.6229395578
ABW,2000,37618.9926155094
ABW,2001,38827.4672740448
ABW,2002,38195.3176084346
ABW,2003,38182.3925262649
ABW,2004,40101.7876131851
ABW,2005,38926.4750002706
ABW,2006,38664.3995098654
ABW,2007,39562.4488484876
ABW,2008,39982.5119922148
ABW,2009,35074.6841221014
ABW,2010,34037.5423205595
ABW,2011,34926.1008924322
ABW,2012,34058.3102329903
ABW,2013,35711.9290506967
ABW,2014,35837.3240929711
ABW,2015,36753.4041726178
ABW,2016,36926.1130685729
ABW,2017,38213.2892388309
ABW,2018,39378.2284109047
ABW,2019,39754.5600722149
ABW,2020,30408.8270901983
ABW,2021,35207.1709088639
ABW,2022,39083.4616398507
ABW,2023,42783.2489072067
ABW,2024,45428.0027283518
AFE,1990,3520.01923283181
AFE,1991,3425.13642950575
AFE,1992,3252.31688807554
AFE,1993,3127.87771409203
AFE,1994,3099.43016512431
AFE,1995,3155.04482771421
AFE,1996,3247.12512375102
AFE,1997,3291.6166582364
AFE,1998,3269.45779459289
AFE,1999,3268.36525112817
AFE,2000,3282.34890610805
AFE,2001,3313.89288261021
AFE,2002,3350.69383885552
AFE,2003,3357.78391588863
AFE,2004,3457.68872066042
AFE,2005,3578.21297897429
AFE,2006,3718.69348523405
AFE,2007,3867.50878828538
AFE,2008,3935.02291750962
AFE,2009,3870.96186560735
AFE,2010,3978.12957148745
AFE,2011,4033.18732362122
AFE,2012,4051.44571135342
AFE,2013,4126.33539547848
AFE,2014,4186.24851129339
AFE,2015,4207.36357863407
AFE,2016,4210.93569503277
AFE,2017,4223.1880503424
AFE,2018,4229.83963374442
AFE,2019,4200.53104400094
AFE,2020,3978.13350151887
AFE,2021,4049.96951303993
AFE,2022,4098.12619221564
AFE,2023,4076.22489796629
AFE,2024,4099.88981217493
AFE,2025,4164.67917723425
AFG,2000,1617.82647494969
AFG,2001,1454.11078195559
AFG,2002,1774.30874287341
AFG,2003,1815.92819979586
AFG,2004,1776.91820712187
AFG,2005,1908.11478234587
AFG,2006,1929.72389709372
AFG,2007,2155.35306784413
AFG,2008,2191.50435559062
AFG,2009,2565.02208584099
AFG,2010,2848.58606111495
AFG,2011,2757.05258747725
AFG,2012,2985.31914452845
AFG,2013,3046.57993117128
AFG,2014,3017.94254424696
AFG,2015,2967.692067153
AFG,2016,2958.7853992308
AFG,2017,2952.99891598909
AFG,2018,2902.39211285546
AFG,2019,2927.2451435353
AFG,2020,2769.68574507111
AFG,2021,2144.16657002819
AFG,2022,1981.71016810561
AFG,2023,1983.81261992909
AFG,2024,1964.45228895456
AFW,1990,4165.72636252068
AFW,1991,4101.37888894377
AFW,1992,4090.01941740886
AFW,1993,3928.31233108379
AFW,1994,3812.2754133601
AFW,1995,3774.10449511756
AFW,1996,3841.15001765706
AFW,1997,3894.84261146833
AFW,1998,3922.4342238425
AFW,1999,3874.21131764426
AFW,2000,3915.43484958221
AFW,2001,4010.5626021227
AFW,2002,4299.84975097232
AFW,2003,4423.57041270062
AFW,2004,4648.60628015945
AFW,2005,4782.44213997441
AFW,2006,4899.65713639306
AFW,2007,5023.69882254656
AFW,2008,5188.67101371784
AFW,2009,5362.1536063345
AFW,2010,5582.43094395132
AFW,2011,5698.38949989214
AFW,2012,5823.41894631103
AFW,2013,6009.65186054619
AFW,2014,6183.24116217304
AFW,2015,6194.43449404851
AFW,2016,6034.82698886686
AFW,2017,6009.51611369801
AFW,2018,6026.52757172836
AFW,2019,6070.28476944465
AFW,2020,5698.76670161724
AFW,2021,5702.13488630478
AFW,2022,5818.48322357838
AFW,2023,5886.79663594125
AFW,2024,6009.08466240495
AFW,2025,6139.58729379935
AGO,1990,8366.41271626349
AGO,1991,8170.24939362119
AGO,1992,7445.43836708148
AGO,1993,5481.76386792194
AGO,1994,5377.99034967929
AGO,1995,5981.53257569901
AGO,1996,6565.86479361918
AGO,1997,6808.33628106109
AGO,1998,6893.12265289502
AGO,1999,6815.17530603212
AGO,2000,6794.53021072097
AGO,2001,6846.79269543978
AGO,2002,7521.73598754911
AGO,2003,7516.81391491319
AGO,2004,8079.52613328266
AGO,2005,8892.92106099154
AGO,2006,9586.17542123825
AGO,2007,10434.7087224445
AGO,2008,11131.6310145389
AGO,2009,10930.2531201205
AGO,2010,11074.0723813984
AGO,2011,11034.5919687814
AGO,2012,11516.8133246588
AGO,2013,11622.978345524
AGO,2014,11718.4286832376
AGO,2015,11389.7609549481
AGO,2016,10963.9967887173
AGO,2017,10565.1676483607
AGO,2018,10154.8389228005
AGO,2019,9712.97944927269
AGO,2020,8904.94900580168
AGO,2021,8720.18768742123
AGO,2022,8750.99363032299
AGO,2023,8597.53878787554
AGO,2024,8752.7974709833
AGO,2025,8760.19081963151
ALB,1990,5560.8339349099
ALB,1991,4027.88880714791
ALB,1992,3761.13980833495
ALB,1993,4145.90250530525
ALB,1994,4517.78007862677
ALB,1995,5151.37596211047
ALB,1996,5563.77007788975
ALB,1997,4942.98350018006
ALB,1998,5387.54588745977
ALB,1999,6085.98339706701
ALB,2000,6581.98909242849
ALB,2001,7232.96055449664
ALB,2002,7590.45852377781
ALB,2003,8025.2480324802
ALB,2004,8483.25881549279
ALB,2005,8964.28082219496
ALB,2006,9563.98954154527
ALB,2007,10262.9242359026
ALB,2008,11056.3059173381
ALB,2009,11430.5746310655
ALB,2010,11829.0042369631
ALB,2011,12153.0636591785
ALB,2012,12463.518369846
ALB,2013,12873.4298184073
ALB,2014,13366.5040948145
ALB,2015,13876.7616296598
ALB,2016,14643.4285614716
ALB,2017,15359.3974577025
ALB,2018,16170.9234325287
ALB,2019,16761.1230178682
ALB,2020,16457.7189744991
ALB,2021,18212.794718288
ALB,2022,19388.7927279351
ALB,2023,20501.6470726741
ALB,2024,21640.9835773271
ALB,2025,22724.2938194949
AND,1990,50036.3007757561
AND,1991,47624.9668573542
AND,1992,45246.53307101
AND,1993,42605.6595832451
AND,1994,42716.3656354
AND,1995,44375.0247238159
AND,1996,46386.0912022485
AND,1997,50032.3529125128
AND,1998,51092.2222352218
AND,1999,52921.0452609846
AND,2000,54809.1441679423
AND,2001,59109.0136806378
AND,2002,61188.6370851474
AND,2003,63656.1958332184
AND,2004,64353.4858113531
AND,2005,65114.8053663021
AND,2006,66390.293726491
AND,2007,65534.1168555171
AND,2008,60691.6051530637
AND,2009,57203.9708883731
AND,2010,58285.0577756981
AND,2011,60470.4662377044
AND,2012,58172.1323929474
AND,2013,57332.1585611366
AND,2014,59929.2444670501
AND,2015,62105.1542389675
AND,2016,64402.8092369468
AND,2017,63239.6577711911
AND,2018,63048.5985572834
AND,2019,63215.899791913
AND,2020,55488.4902991095
AND,2021,59332.2029100127
AND,2022,63913.3835079105
AND,2023,64631.2963909271
AND,2024,66232.7444195598
AND,2025,67993.0524178882
ARB,1990,11355.1718407217
ARB,1991,10925.4803164734
ARB,1992,11328.2831751529
ARB,1993,11373.8756110002
ARB,1994,11407.5799459782
ARB,1995,11439.965235048
ARB,1996,11727.9176909663
ARB,1997,12060.4162710899
ARB,1998,12414.0808971918
ARB,1999,12498.0448761006
ARB,2000,12951.1488357919
ARB,2001,12942.2801233206
ARB,2002,12809.5386646405
ARB,2003,12908.1785746866
ARB,2004,13743.6011136095
ARB,2005,14138.3873353854
ARB,2006,14630.4079863564
ARB,2007,14935.5647106518
ARB,2008,15396.8318989782
ARB,2009,15212.2519061915
ARB,2010,15618.615472912
ARB,2011,15945.1823698333
ARB,2012,16186.2739403861
ARB,2013,16119.4564896044
ARB,2014,16172.6351171803
ARB,2015,16397.4908780979
ARB,2016,16632.4297723251
ARB,2017,16568.8021684707
ARB,2018,16749.8977688889
ARB,2019,16808.651930358
ARB,2020,15768.0410516828
ARB,2021,16194.2304401674
ARB,2022,16933.1685957842
ARB,2023,16830.7594854659
ARB,2024,16802.4292966747
ARB,2025,17050.8498488892
ARE,1990,111376.984373425
ARE,1991,106266.157625225
ARE,1992,104207.059133554
ARE,1993,100422.832470477
ARE,1994,102456.239942581
ARE,1995,104527.848240577
ARE,1996,103653.542710104
ARE,1997,103392.379457138
ARE,1998,96088.6587271972
ARE,1999,92047.6104655985
ARE,2000,95390.8328858321
ARE,2001,90750.3257926454
ARE,2002,87479.1545350862
ARE,2003,89828.493399274
ARE,2004,93166.1568863784
ARE,2005,92750.9226341994
ARE,2006,94872.5121329578
ARE,2007,87180.6001633546
ARE,2008,80285.1613062103
ARE,2009,71488.9696792101
ARE,2010,70913.7569272495
ARE,2011,73190.4056300014
ARE,2012,73644.0549928884
ARE,2013,74237.2038000319
ARE,2014,74145.1175448951
ARE,2015,75238.5571858454
ARE,2016,75671.036861385
ARE,2017,72529.0423512365
ARE,2018,72671.0787288764
ARE,2019,72822.9466438922
ARE,2020,66808.6209256028
ARE,2021,68580.1312912676
ARE,2022,70075.63837395
ARE,2023,70239.8328337228
ARE,2024,69701.785835525
ARG,1990,17007.2844317191
ARG,1991,18295.6091996812
ARG,1992,19476.2840606477
ARG,1993,20791.3451479504
ARG,1994,21711.842788091
ARG,1995,20819.4999479903
ARG,1996,21695.5949515372
ARG,1997,23172.1583398342
ARG,1998,23783.1017185449
ARG,1999,22714.5111302701
ARG,2000,22281.3814299958
ARG,2001,21066.4581290433
ARG,2002,18571.7020471274
ARG,2003,20005.1385113465
ARG,2004,21591.449396517
ARG,2005,23262.4075792816
ARG,2006,24877.2493922296
ARG,2007,26850.6645932771
ARG,2008,27658.4853446831
ARG,2009,25747.1976809995
ARG,2010,28056.2570212342
ARG,2011,29425.7593876084
ARG,2012,28825.9666865361
ARG,2013,29227.6601818437
ARG,2014,28200.8152571318
ARG,2015,28669.2061336796
ARG,2016,27802.1057201498
ARG,2017,28334.904184742
ARG,2018,27367.115094108
ARG,2019,26629.5529419501
ARG,2020,23877.0931404855
ARG,2021,26300.274261175
ARG,2022,27825.0273492567
ARG,2023,27230.3968496682
ARG,2024,26771.9657650571
ARG,2025,27846.5984597239
